,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2013-01-08,80.0,92.0,64.1925,65.7955,67.3985,61.1176,0.1252,-4798546.0,58.8259,65.3142,65.7955,88.9182,115.8662,94.09,80.605,99.825,1650.5,0.07,1.89
2013-01-07,84.0,96.0,64.1484,65.723,67.2976,84.006,0.1374,-3846377.0,60.7942,65.2917,65.723,94.2114,116.214,93.73,80.78,99.815,1658.9,0.07,1.92
2013-01-04,0.0,100.0,64.1129,65.6305,67.1481,112.9522,0.1206,-2650017.0,62.543,65.2677,65.6305,84.0166,116.5269,93.49,80.85,99.82,1666.3,0.07,1.93
2013-01-03,4.0,100.0,64.1018,65.51899999999999,66.9362,117.9185,0.0617,-3798613.0,60.9192,65.2409,65.51899999999999,65.5465,116.0401,93.87,80.205,99.835,1688.1,0.08,1.92
2013-01-02,8.0,100.0,64.0663,65.4145,66.7627,126.1347,-0.0122,-1506455.0,61.4492,65.2162,65.4145,38.7746,116.1444,93.1,79.75,99.85,1681.7,0.08,1.86
2012-12-31,12.0,72.0,64.0983,65.313,66.5277,-83.4985,-0.1384,-5839483.0,50.7773,65.1902,65.313,22.4827,113.3451,92.39,79.991,99.845,1658.6,0.05,1.78
2012-12-28,16.0,76.0,64.0821,65.3035,66.5249,-157.9375,-0.1674,-8369490.0,40.2906,65.1774,65.3035,15.11,111.4326,93.03,79.975,99.83,1667.2,0.01,1.73
2012-12-27,0.0,80.0,64.2567,65.352,66.4473,-136.5236,-0.0912,-7283254.0,46.2837,65.1739,65.352,25.8829,112.6844,92.5,79.814,99.815,1659.8,0.08,1.74
2012-12-26,0.0,84.0,64.2506,65.35,66.4494,-91.6055,-0.0396,-5850472.0,46.8227,65.15100000000001,65.35,42.8934,112.7887,91.23,79.8,99.825,1657.4,0.09,1.77
2012-12-24,0.0,88.0,64.1446,65.321,66.4974,-53.2913,0.0353,-5071250.0,49.5932,65.1319,65.321,64.2415,113.3277,90.97,79.76,99.83,1658.0,0.06,1.79
2012-12-21,4.0,92.0,64.0752,65.292,66.5088,36.6542,0.1156,-4555372.0,56.163,65.1104,65.292,75.0755,113.6557,91.86,79.64,99.83,1648.5,0.06,1.77
